Metadata Type,Metadata API,Source Tracking,Unlocked Packaging Second generation Unlocked Packaging,Managed Packaging Second generation Managed Packaging,"Classic Packaging First generation Packaging, and covers both Managed and Unmanaged through footnotes in the cells",Change Sets,Apex Metadata API,Known Issues
MilestoneType,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,Exposed in Classic Packaging,Exposed in Change Sets,,
MLDataDefinition,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
MlDomain,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
MLPredictionDefinition,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
MobileApplicationDetail,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
MobileSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ModerationRule,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,,,
MutingPermissionSet,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
MyDomainDiscoverableLogin,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
MyDomainSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
NamedCredential,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
NameSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
NavigationMenu,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
Network,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,Exposed in Change Sets,,
NetworkBranding,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
NotificationsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
NotificationTypeConfig,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
OauthCustomScope,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ObjectHierarchyRelationship,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ObjectLinkingSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ObjectSourceTargetMap,Exposed in Metadata API,,Exposed in Unlocked Packaging,,,,,
OmniChannelSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
OpportunityInsightsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
OpportunityScoreSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
OpportunitySettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Orchestration,,,,,,,,
OrchestrationContext,,,,,,,,
OrderManagementSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
OrderSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
OrgPreferenceSettings,,,,,,,,
OrgSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
OrgWideEmailAddress,,,,,,,,
OutboundNetworkConnection,Exposed in Metadata API,Exposed in Source Tracking,,,Exposed in Classic Packaging,Exposed in Change Sets,,
Package,,,,,,,,
PardotEinsteinSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
PardotSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
PardotTenant,,,,,,,,
ParticipantRole,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
PartyDataModelSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
PathAssistant,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
PathAssistantSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
PaymentGatewayProvider,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
PermissionSet,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
PermissionSetGroup,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
PersonalJourneySettings,,,,,,,,
PersonListSettings,,,,,,,,
PicklistSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
PicklistValue,Exposed in Metadata API,Exposed in Source Tracking,,,,,,1 Open
PlatformCachePartition,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,1 Open
PlatformEncryptionSettings,,,,,,,,
PlatformEventChannel,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
PlatformEventChannelMember,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
PlatformEventSubscriberConfig,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
Portal,,,,,,,,
PortalsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
PostTemplate,Exposed in Metadata API,Exposed in Source Tracking,,,,Exposed in Change Sets,,
PredictionBuilderSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
PresenceDeclineReason,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
PresenceUserConfig,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
PrivacySettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
PrivateConnection,,,,,,,,
ProductSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Profile,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,,,2 Fixed
ProfilePasswordPolicy,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ProfileSessionSetting,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
Prompt,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
Queue,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,Exposed in Change Sets,,
QueueRoutingConfig,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
QuickAction,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,"1 Open, 1 Fixed"
QuickTextSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
QuoteSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
RealTimeEventSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
RecommendationBuilderSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
RecommendationStrategy,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
RecordActionDeployment,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
RecordPageSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
RecordType,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,3 Fixed
RedirectWhitelistUrl,Exposed in Metadata API,Exposed in Source Tracking,,,Exposed in Classic Packaging,Exposed in Change Sets,,
RemoteSiteSetting,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
Report,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,"1 Open, 1 Fixed"
ReportFolder,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
ReportType,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
RestrictionRule,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
RetailExecutionSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Role,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,Exposed in Change Sets,,
SalesAgreementSettings,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
SalesWorkQueueSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
SamlSsoConfig,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
SchemaSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Scontrol,,,,,,,,
SearchSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
SecuritySettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ServiceAISetupDefinition,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ServiceAISetupField,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ServiceChannel,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ServiceCloudVoiceSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ServicePresenceStatus,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ServiceSetupAssistantSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
SharingCriteriaRule,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
SharingGuestRule,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
SharingOwnerRule,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
SharingReason,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
SharingRules,Exposed in Metadata API,,,,,,,1 Fixed
SharingSet,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,Exposed in Classic Packaging,Exposed in Change Sets,,
SharingSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
SharingTerritoryRule,Exposed in Metadata API,Exposed in Source Tracking,,,,Exposed in Change Sets,,
SiteDotCom,Exposed in Metadata API,Exposed in Source Tracking,,,,Exposed in Change Sets,,1 Fixed
SiteSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Skill,Exposed in Metadata API,Exposed in Source Tracking,,,,Exposed in Change Sets,,
SocialCustomerServiceSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
SocialProfileSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
SourceTrackingSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
StandardValue,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
StandardValueSet,Exposed in Metadata API,Exposed in Source Tracking,,,,,,1 Open
StandardValueSetTranslation,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
StaticResource,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
SummaryLayout,,,,,,,,
SurveySettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
SynonymDictionary,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
SystemNotificationSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Territory,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,Exposed in Change Sets,,
Territory2,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,,,
Territory2Model,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,,,
Territory2Rule,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,,,
Territory2Settings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Territory2Type,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,,,
TimeSheetTemplate,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
TopicsForObjects,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
TrailheadSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
TransactionSecurityPolicy,Exposed in Metadata API,Exposed in Source Tracking,,,,Exposed in Change Sets,,
Translations,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,"1 Open, 1 Fixed"
TrialOrgSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
UIObjectRelationConfig,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
UiPlugin,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
UserAuthCertificate,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
UserCriteria,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,,,
UserEngagementSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
UserInterfaceSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
UserManagementSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
UserProvisioningConfig,Exposed in Metadata API,Exposed in Source Tracking,,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
ValidationRule,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
VisualizationPlugin,,,,,,,,
WaveApplication,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WaveComponent,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WaveDashboard,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WaveDataflow,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WaveDataset,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WaveLens,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WaveRecipe,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WaveTemplateBundle,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WaveXmd,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WebLink,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WebStoreTemplate,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WebToXSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
WorkDotComSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Workflow,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,,,,2 Open
WorkflowAlert,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WorkflowFieldUpdate,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WorkflowFlowAction,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
WorkflowKnowledgePublish,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
WorkflowOutboundMessage,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WorkflowRule,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WorkflowSend,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
WorkflowTask,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
WorkSkillRouting,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
